Year,EastWoodlawn,WestWoodlawn,Woodlawn,Chicago,EastWoodlawnRollingAvg,WestWoodlawnRollingAvg,WoodlawnRollingAvg,ChicagoRollingAvg
2005,"$271,000","$125,000","$155,000","$225,000",,,,
2006,"$287,500","$138,000","$210,000","$239,500",,,,
2007,"$349,000","$139,500","$260,000","$240,500",,,,
2008,"$150,000","$69,000","$89,000","$198,000",,,,
2009,"$77,000","$29,500","$42,000","$147,000","$226,900","$100,200","$151,200","$210,000"
2010,"$107,250","$34,750","$55,000","$142,000","$194,150","$82,150","$131,200","$193,400"
2011,"$155,500","$16,000","$42,500","$140,000","$167,750","$57,750","$97,700","$173,500"
2012,"$112,000","$23,750","$30,000","$137,000","$120,350","$34,600","$51,700","$152,800"
2013,"$147,000","$21,000","$41,000","$155,000","$119,750","$25,000","$42,100","$144,200"
2014,"$141,250","$15,000","$90,000","$174,000","$132,600","$22,100","$51,700","$149,600"
2015,"$160,000","$28,500","$90,250","$190,000","$143,150","$20,850","$58,750","$159,200"
2016,"$126,000","$24,000","$72,500","$205,000","$137,250","$22,450","$64,750","$172,200"
2017,"$242,500","$44,000","$126,500","$215,000","$163,350","$26,500","$84,050","$187,800"
2018,"$246,500","$42,500","$90,000","$217,000","$183,250","$30,800","$93,850","$200,200"
2019,"$230,250","$69,000","$95,000","$227,000","$201,050","$41,600","$94,850","$210,800"
2020,"$325,000","$102,000","$218,000","$269,000","$234,050","$56,300","$120,400","$226,600"
2021,"$295,000","$99,500","$230,000","$293,000","$267,850","$71,400","$151,900","$244,200"
2022,"$546,000","$150,000","$345,000","$293,000","$328,550","$92,600","$195,600","$259,800"
2023,"$349,500","$87,500","$195,000","$280,000","$349,150","$101,600","$216,600","$272,400"
2024,"$620,000","$127,500","$280,000","$308,000","$427,100","$113,300","$253,600","$288,600"
2025,"$440,000","$210,000","$330,000","$320,000","$450,100","$134,900","$276,000","$298,800"
