Year,White,Black,Asian,Hispanic,Other
2015,0,0,0,0,0
2016,1.076723831,-1.29967436,-0.1085958525,0.3500236165,0.2640971973
2017,1.910164778,-2.602278439,0.1362241025,0.4663818732,0.3174173114
2018,1.441535016,-2.47232516,0.5275320811,0.6962909802,0.3431032669
2019,1.517707354,-2.584297232,0.3467886302,0.7370009125,0.210749243
2020,1.631675857,-3.14043078,0.01662861997,0.3279051179,0.2025202194
2021,2.87303284,-5.417222479,0.1297054878,0.07407283164,1.176905823
2022,3.148308195,-7.719339556,0.0958849273,0.5726072151,2.750266713
2023,3.468508577,-6.452759089,-0.1653908455,0.09718870789,1.946842373
2024,3.065475687,-9.173343751,0.551870869,1.542008287,2.111783264
2024,3.065475687,-9.173343751,0.551870869,1.542008287,2.111783264
